Rank,Game,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,date,year,month,Avg_players,Gain_players,Peak_players,avg_peak_perc_players
168,Don't Starve Together,733602,41134,6080,112,4731,987,55,17.83,2016-04-01,2020,May,13854.71,-3721.79,26867,51.5678%
170,NBA 2K19,717093,15868,2069,51,1724,965,21,45.19,2016-04-01,2020,May,2220.19,-382.57,4073,54.5099%
171,Garry's Mod,712323,38133,38639,136,7819,958,51,18.68,2016-04-01,2020,May,31974.56,-6784.41,52658,60.7212%
172,7 Days to Die,703934,93498,4175,247,7066,947,125,7.53,2016-04-01,2020,May,16813.99,-1456.03,26351,63.8078%
175,RimWorld,685037,35499,7522,100,2670,921,47,19.3,2016-04-01,2020,May,14814.16,-2757.61,21491,68.9319%
180,Alien: Isolation,650974,53337,5911,273,9376,876,71,12.2,2016-04-01,2020,May,1341.14,302.02,5807,23.0952%
183,House Flipper,611416,19928,9409,101,3639,822,26,30.68,2016-04-01,2020,May,3474.56,466.75,9067,38.3209%
188,Call of Duty: Modern Warfare 2,588453,27045,35925,341,5939,791,36,21.76,2016-04-01,2020,May,559.84,-214.06,1044,53.6245%
189,Outlast,579234,32271,30733,118,9380,779,43,17.95,2016-04-01,2020,May,206.12,-7.84,379,54.3852%
193,Stardew Valley,548637,68427,4282,162,9308,738,92,8.02,2016-04-01,2020,May,20487.19,-9463.98,31679,64.6712%
197,Brawlhalla,537311,93239,9815,248,17016,723,125,5.76,2016-04-01,2020,May,16399.06,-816.21,31828,51.524%
200,Arma 3,530410,72500,5638,389,5542,713,97,7.32,2016-04-01,2020,May,15997.56,-4268.59,34175,46.8107%
4,Grand Theft Auto V,100533035,1681199,389147,4500,145049,139823,2338,59.8,2016-04-01,2020,June,99752.85,-41617.03,180302,55.3254%
7,Counter-Strike: Global Offensive,76001332,1403689,499919,4209,149577,105704,1952,54.14,2016-04-01,2020,June,671647.46,-97147.79,1009467,66.5349%
9,Dota 2,41177114,569147,212444,1490,27354,57269,791,72.35,2016-04-01,2020,June,457184.42,-27004.6,733294,62.3467%
17,Dead by Daylight,17143940,920224,83669,2915,74973,23844,1279,18.63,2016-04-01,2020,June,40479.91,6747.27,77341,52.3395%
20,Sea of Thieves,13074561,479773,63429,1447,42558,18184,667,27.25,2016-04-01,2020,June,29454.49,-2700.7116666666666,66632,44.2047%
21,Path of Exile,13049473,261238,136329,3911,13311,18149,363,49.95,2016-04-01,2020,June,30079.25,11224.95,125432,23.9805%
24,PLAYERUNKNOWN'S BATTLEGROUNDS,12471270,508739,80565,1061,34621,17345,707,24.51,2016-04-01,2020,June,230329.74,-12929.04,546359,42.1572%
25,Tom Clancy's Rainbow Six Siege,12013893,1279671,49198,3779,133945,16709,1779,9.39,2016-04-01,2020,June,70200.51,-9898.8,126733,55.3924%
26,Destiny 2,10546869,712956,289529,6800,50306,14668,991,14.79,2016-04-01,2020,June,77550.23,25712.82,213681,36.2925%
27,NBA 2K20,9716329,632553,91296,2188,55185,13513,879,15.36,2016-04-01,2020,June,16774.96,-687.5,33076,50.7164%
32,Rocket League,6200876,465670,71629,1117,76014,8624,647,13.32,2016-04-01,2020,June,41136.6,-4478.95,72502,56.7386%
35,Terraria,5247075,195641,37539,659,21963,7297,272,26.82,2016-04-01,2020,June,75803.88,-54004.75,157919,48.0017%
42,Rust,4309351,169574,44671,725,14303,5993,235,25.41,2016-04-01,2020,June,50417.72,-6926.93,93513,53.9152%
44,The Elder Scrolls Online,3892037,116879,40295,303,8205,5413,162,33.3,2016-04-01,2020,June,23003.48,-391.94,39494,58.2455%
45,SMITE,3855806,176255,25557,514,14889,5362,245,21.88,2016-04-01,2020,June,14765.63,-542.06,24129,61.1945%
48,Black Desert Online,3361617,157977,10218,370,7919,4675,219,21.28,2016-04-01,2020,June,18250.08,-1693.22,24463,74.6028%
55,ARK: Survival Evolved,2751792,272680,32686,806,21832,3827,379,10.09,2016-04-01,2020,June,59435.7,-1482.37,97813,60.7646%
57,Football Manager 2020,2526816,32812,23262,129,2244,3514,45,77.01,2016-04-01,2020,June,57967.32,-11192.01,94063,61.6261%
60,World of Warships,2482727,68118,18152,196,4230,3453,94,36.45,2016-04-01,2020,June,8913.76,-754.11,17330,51.4354%
61,The Elder Scrolls V: Skyrim,2448588,107967,29653,262,11073,3405,150,22.68,2016-04-01,2020,June,7522.3,-1143.13,12658,59.4272%
62,VRChat,2437110,82554,10310,213,7562,3389,114,29.52,2016-04-01,2020,June,11183.39,-592.8,15781,70.8662%
63,Age of Empires II: Definitive Edition,2263061,38998,28514,104,3006,3147,54,58.03,2016-04-01,2020,June,13926.15,-3701.97,23847,58.3979%
64,F1 2019,2253944,42858,106783,260,8466,3134,59,52.59,2016-04-01,2020,June,3292.2,-1146.32,7838,42.0031%
66,Hunt: Showdown,2195816,88524,50318,322,6944,3053,123,24.8,2016-04-01,2020,June,5589.31,-21.07,12660,44.1494%
68,FINAL FANTASY XIV Online,2160064,232262,15257,886,14712,3004,323,9.3,2016-04-01,2020,June,15404.52,-2611.23,24417,63.0893%
78,DayZ,1936338,124395,29501,350,9241,2693,173,15.57,2016-04-01,2020,June,13996.88,-2332.09,24136,57.9917%
79,Monster Train,1925453,22868,13524,112,2390,2677,31,84.2,2016-04-01,2020,June,5736.48,-4661.81,11569,49.5849%
82,MapleStory,1843494,79593,23399,305,4874,2563,110,23.16,2016-04-01,2020,June,3026.96,116.4,4683,64.6372%
84,Kingdom Come: Deliverance,1718340,19332,23111,61,1633,2389,26,88.89,2016-04-01,2020,June,2958.08,269.45,8153,36.2821%
86,Street Fighter V,1544848,38980,30429,91,3308,2148,54,39.63,2016-04-01,2020,June,1594.89,-113.19,2493,63.9747%
94,Monster Hunter: World,1368678,121283,13547,267,10980,1903,168,11.28,2016-04-01,2020,June,24145.61,-19558.09,51086,47.2646%
96,Mortal Kombat 11,1341778,66730,28406,187,8422,1866,92,20.11,2016-04-01,2020,June,2630.65,-13.3,4847,54.2738%
98,The Witcher 3: Wild Hunt,1229857,90291,8263,271,9748,1710,125,13.62,2016-04-01,2020,June,19000.83,-2433.65,35118,54.1057%
100,7 Days to Die,1210455,75019,34546,400,6309,1683,104,16.14,2016-04-01,2020,June,13120.49,-3693.5,28205,46.5183%
101,Satisfactory,1210129,78166,48319,263,7125,1683,108,15.48,2016-04-01,2020,June,16772.74,-1237.5583333333334,27439,61.1274%
109,Borderlands 3,1129625,73303,26614,336,8528,1571,101,15.41,2016-04-01,2020,June,7133.96,-7839.2,18514,38.5328%
110,Grand Theft Auto: San Andreas,1117646,30283,12144,80,4565,1554,42,36.91,2016-04-01,2020,June,955.12,-200.94,1682,56.7848%
114,Sid Meier's Civilization VI,1052880,58452,11913,239,7395,1464,81,18.01,2016-05-01,2020,June,39799.04,-1993.32,60936,65.3129%
116,Raft,1037598,33002,23974,133,6048,1443,45,31.44,2016-05-01,2020,June,4307.84,89.43,11197,38.4732%
119,Don't Starve Together,1017772,48990,9981,159,6459,1415,68,20.78,2016-05-01,2020,June,17332.93,3478.22,41440,41.8266%
121,Warframe,1001939,124444,16284,438,9274,1393,173,8.05,2016-05-01,2020,June,44830.35,-4856.71,81798,54.8062%
126,Desperados III,900772,14561,23242,210,1862,1252,20,61.86,2016-05-01,2020,June,2701.73,-358.43,5997,45.0514%
127,Garry's Mod,889311,29646,102669,107,6502,1236,41,30.0,2016-05-01,2020,June,29114.99,-2859.57,42557,68.4141%
128,Europa Universalis IV,880991,20967,9687,124,1343,1225,29,42.02,2016-05-01,2020,June,20938.41,4827.5,47844,43.7639%
131,Yu-Gi-Oh! Duel Links,858052,19572,14537,53,1900,1193,27,43.84,2016-05-01,2020,June,8019.26,-569.23,10699,74.9534%
132,Euro Truck Simulator 2,857222,102710,10255,369,11203,1192,142,8.35,2016-05-01,2020,June,19808.94,-1206.83,37543,52.7633%
137,DOOM Eternal,795233,37248,19861,117,5512,1106,51,21.35,2016-05-01,2020,June,1991.55,-1239.68,7551,26.3747%
139,War Thunder,767585,61573,12167,176,5558,1067,85,12.47,2016-05-01,2020,June,20400.64,-2076.35,32424,62.9183%
140,Alien: Isolation,763412,31177,30483,107,6293,1061,43,24.49,2016-05-01,2020,June,451.9,-889.24,844,53.5427%
141,Green Hell,760358,24159,27240,101,3663,1057,33,31.47,2016-05-01,2020,June,3068.65,-935.78,8820,34.792%
142,Paladins,748388,100658,3715,257,12825,1040,139,7.43,2016-05-01,2020,June,10537.02,-3785.11,17921,58.7971%
144,The Forest,726164,78142,47620,263,12388,1009,108,9.29,2016-05-01,2020,June,5574.74,-651.77,16215,34.3801%
154,Albion Online,672836,36607,3378,104,2148,935,50,18.38,2016-05-01,2020,June,5881.48,-1304.71,8863,66.3599%
156,Farming Simulator 19,662936,79343,16905,298,6478,922,110,8.36,2016-05-01,2020,June,13001.78,-1938.4,25980,50.0453%
160,RimWorld,648184,31267,15777,90,2513,901,43,20.73,2016-05-01,2020,June,14297.36,-516.8,19981,71.5548%
161,rFactor 2,645424,3489,62961,54,490,897,4,184.99,2016-05-01,2020,June,723.04,3.34,1642,44.0341%
167,Subnautica,629032,48160,5524,126,6500,874,66,13.06,2016-05-01,2020,June,2621.78,-653.83,4605,56.9333%
168,Persona 4 Golden,616660,65550,32569,464,6332,857,91,9.41,2016-05-01,2020,June,19589.92,-2862.933333333333,29984,65.3346%
169,Knight Online,615929,12061,5633,54,667,856,16,51.07,2016-05-01,2020,June,2173.22,-607.38,3278,66.2971%
174,Call of Duty: Black Ops III,600558,136454,7580,356,18201,835,189,4.4,2016-05-01,2020,June,3623.99,-1174.33,6321,57.3325%
175,Hollow Knight,593692,52941,6036,142,6250,825,73,11.21,2016-05-01,2020,June,3735.5,-1356.46,7525,49.6412%
177,Mount & Blade II: Bannerlord,588799,18374,14954,66,1965,818,25,32.05,2016-05-01,2020,June,14921.1,-16608.75,26040,57.3007%
179,Gunfire Reborn,582640,31078,50647,106,4651,810,43,18.75,2016-05-01,2020,June,3669.73,2745.79,7114,51.5846%
180,Metin2,581073,19952,3200,68,1530,808,27,29.12,2016-05-01,2020,June,909.24,-539.08,1610,56.4745%
181,Outward,579274,9685,19395,40,1096,805,13,59.81,2016-05-01,2020,June,962.14,439.24,3470,27.7274%
185,Gears 5,554310,58614,5014,211,5301,770,81,9.46,2016-05-01,2020,June,228.67,-104.21,479,47.739%
186,Fallout 76,548408,63570,4062,229,4604,762,88,8.63,2016-05-01,2020,June,7983.75,-6491.57,15386,51.8897%
188,Brawlhalla,530386,87914,9633,218,16489,737,122,6.03,2016-05-01,2020,June,15399.4,-999.66,26402,58.3266%
190,Outlast,521244,31963,19190,124,9579,724,44,16.31,2016-05-01,2020,June,245.68,39.55,778,31.5784%
192,Hearts of Iron IV,512336,13549,18429,48,1486,712,18,37.81,2016-05-01,2020,June,20380.3,-29.18,32549,62.6142%
197,The Long Dark,482543,13990,10033,45,1842,671,19,34.49,2016-05-01,2020,June,1869.0,-420.24,3289,56.8258%
4,Grand Theft Auto V,94129970,1614402,378519,3752,130521,126689,2172,58.31,2016-05-01,2020,July,83654.72,-16098.13,134093,62.3856%
8,Counter-Strike: Global Offensive,41902442,1187042,197934,3034,126894,56396,1597,35.3,2016-05-01,2020,July,625900.81,-45746.65,857560,72.9862%
9,Dota 2,35906928,571211,193157,1301,27565,48326,768,62.86,2016-05-01,2020,July,450213.99,-6970.43,712610,63.1782%
15,Dead by Daylight,19034322,1018117,65116,2138,81765,25618,1370,18.7,2016-05-01,2020,July,40537.08,57.17,66429,61.0232%
21,Tom Clancy's Rainbow Six Siege,12976681,1365588,47393,2863,144626,17465,1837,9.5,2016-05-01,2020,July,76279.2,6078.69,122438,62.3003%
23,PLAYERUNKNOWN'S BATTLEGROUNDS,11720863,589688,57693,1220,36800,15775,793,19.88,2016-05-01,2020,July,211700.3,-18629.44,469568,45.0841%
25,Path of Exile,10258739,248266,50665,611,10103,13807,334,41.32,2016-05-01,2020,July,34840.9,4761.65,64732,53.8233%
26,NBA 2K20,10127041,785633,76626,2079,70302,13629,1057,12.89,2016-05-01,2020,July,22884.1,6109.15,38023,60.1849%
27,Destiny 2,9801493,840733,52632,2406,54420,13191,1131,11.66,2016-05-01,2020,July,68439.75,-9110.48,122236,55.9898%
33,Rocket League,6404829,503218,37288,1125,81236,8620,677,12.73,2016-05-01,2020,July,41893.27,756.67,71681,58.444%
34,Hunt: Showdown,6143333,125570,52276,362,9284,8268,169,48.92,2016-05-01,2020,July,6388.57,799.27,13842,46.1535%
35,Sea of Thieves,5972355,349134,41888,905,33636,8038,469,17.11,2016-05-01,2020,July,21810.25,-7644.24,59104,36.9015%
40,The Elder Scrolls Online,5331136,116764,57057,308,8560,7175,157,45.66,2016-05-01,2020,July,22006.6,-996.88,34962,62.9443%
43,Rust,4936238,204538,40911,741,17294,6643,275,24.13,2016-05-01,2020,July,58238.72,7821.0,97741,59.5847%
45,SMITE,4868991,230443,28440,681,19476,6553,310,21.13,2016-05-01,2020,July,15841.85,1076.21,27842,56.8991%
51,Black Desert Online,4006988,152683,27341,303,7839,5392,205,26.24,2016-05-01,2020,July,15378.3,-2871.78,19471,78.9805%
54,Monster Hunter: World,3762608,244255,34374,1152,20530,5064,328,15.4,2016-05-01,2020,July,48079.8,23934.18,144000,33.3888%
56,VRChat,3439805,91292,24751,257,8250,4629,122,37.68,2016-05-01,2020,July,11113.71,-69.68,16634,66.8132%
62,World of Warships,2765815,74394,18090,220,4500,3722,100,37.18,2016-05-01,2020,July,9259.68,345.92,18580,49.8368%
70,MapleStory,2430995,83290,19262,221,5248,3271,112,29.19,2016-05-01,2020,July,3104.4,77.44,4918,63.1232%
71,Age of Empires II: Definitive Edition,2354533,42928,18809,104,3273,3168,57,54.85,2016-05-01,2020,July,14447.78,521.63,22239,64.966%
72,FINAL FANTASY XIV Online,2346316,251952,41554,920,15714,3157,339,9.31,2016-05-01,2020,July,15767.28,362.76,24141,65.3133%
73,DayZ,2345331,142773,34790,356,10483,3156,192,16.43,2016-05-01,2020,July,14339.71,342.83,23958,59.8535%
76,7 Days to Die,2247141,154970,23930,411,10624,3024,208,14.5,2016-05-01,2020,July,24237.9,11117.41,38944,62.2378%
81,ARK: Survival Evolved,2088824,239495,18359,571,15586,2811,322,8.72,2016-05-01,2020,July,57163.99,-2271.72,90664,63.0504%
82,Brawlhalla,2047527,106026,41874,300,18732,2755,142,19.31,2016-05-01,2020,July,16276.09,876.69,29804,54.6104%
86,Street Fighter V,1777609,41238,37634,105,3572,2392,55,43.11,2016-05-01,2020,July,1697.59,102.7,2599,65.317%
89,Terraria,1532921,107678,32901,256,12844,2063,144,14.24,2016-05-01,2020,July,40828.84,-34975.04,62269,65.5685%
99,Green Hell,1424606,27476,44816,97,3892,1917,36,51.85,2016-05-01,2020,July,3128.4,59.75,7481,41.8179%
105,The Forest,1277626,100544,26338,309,15111,1719,135,12.71,2016-05-01,2020,July,7822.46,2247.72,16117,48.5355%
109,Sid Meier's Civilization VI,1259840,35136,17841,110,4193,1695,47,35.86,2016-05-01,2020,July,37644.69,-2154.36,64392,58.4617%
110,Warframe,1252221,129890,30861,325,9821,1685,174,9.64,2016-05-01,2020,July,39385.15,-5445.2,58719,67.0739%
112,The Elder Scrolls V: Skyrim,1248830,113273,9718,270,11448,1680,152,11.02,2016-05-01,2020,July,6941.59,-580.71,10899,63.6902%
113,Satisfactory,1199505,71703,26730,203,6267,1614,96,16.73,2016-05-01,2020,July,13820.92,-2951.82,23836,57.9834%
114,Raft,1189282,43975,46716,137,7505,1600,59,27.04,2016-05-01,2020,July,5279.91,972.06,11495,45.9322%
116,Max Payne 3,1184524,2509,22400,15,484,1594,3,472.11,2016-05-01,2020,July,323.17,119.83,718,45.0097%
122,Football Manager 2020,1133493,34617,10316,145,2326,1525,46,32.74,2016-05-01,2020,July,58842.47,875.15,91382,64.3918%
130,Don't Starve Together,997514,48930,7651,118,6143,1342,65,20.39,2016-06-01,2020,July,17581.44,248.5,31896,55.1211%
132,Gears 5,985982,84826,10839,367,7718,1327,114,11.62,2016-06-01,2020,July,382.5,153.84,679,56.3328%
139,Danganronpa V3: Killing Harmony,899575,5219,18207,18,377,1210,7,172.37,2016-06-01,2020,July,724.07,287.73,1087,66.6118%
142,Garry's Mod,864227,32015,56162,90,7058,1163,43,26.99,2016-06-01,2020,July,29238.95,123.95,42318,69.0934%
144,Paladins,837668,117700,5893,310,14473,1127,158,7.12,2016-06-01,2020,July,10141.15,-395.87,17726,57.2106%
145,Mortal Kombat 11,837491,58903,14841,153,6947,1127,79,14.22,2016-06-01,2020,July,2421.78,-208.87,4265,56.7826%
150,Grand Theft Auto: San Andreas,799933,32563,15648,87,4504,1076,43,24.57,2016-06-01,2020,July,1095.09,139.97,1808,60.5691%
151,Euro Truck Simulator 2,799292,103230,7279,350,11401,1075,138,7.74,2016-06-01,2020,July,19619.5,-189.44,34566,56.7595%
152,No Man's Sky,797829,60070,20676,182,6874,1073,80,13.28,2016-06-01,2020,July,9572.2,3009.91,21844,43.8207%
153,Tabletop Simulator,795210,13328,43250,64,2908,1070,17,59.66,2016-06-01,2020,July,6777.9,297.2,15529,43.6467%
155,Yu-Gi-Oh! Duel Links,777199,18201,7942,50,1826,1046,24,42.7,2016-06-01,2020,July,7138.33,-880.94,10106,70.6346%
156,The Witcher 3: Wild Hunt,773583,88392,7355,251,9763,1041,118,8.75,2016-06-01,2020,July,18828.38,-172.45,34735,54.2058%
157,Persona 4 Golden,762984,60013,10018,176,4343,1026,80,12.71,2016-06-01,2020,July,9336.06,-10253.86,16309,57.2448%
160,Farming Simulator 19,738095,79750,8986,261,6249,993,107,9.26,2016-06-01,2020,July,14175.57,1173.79,27660,51.2493%
162,Gunfire Reborn,716941,28386,15382,89,4314,964,38,25.26,2016-06-01,2020,July,3441.56,-228.18,5747,59.8845%
166,Hollow Knight,711918,62439,6799,154,7114,958,84,11.4,2016-06-01,2020,July,5482.42,1746.92,8904,61.5726%
171,Albion Online,687988,38044,3154,102,2477,925,51,18.08,2016-06-01,2020,July,5909.43,27.95,8899,66.4056%
172,RimWorld,687723,34960,8243,95,2713,925,47,19.67,2016-06-01,2020,July,15243.38,946.01,20531,74.2457%
174,Fallout 76,674953,97564,17475,251,7275,908,131,6.92,2016-06-01,2020,July,9011.95,1028.2,14188,63.5181%
178,DOOM Eternal,625897,40726,139759,120,5832,842,54,15.37,2016-06-01,2020,July,3027.89,1036.35,6900,43.8825%
179,The Long Dark,618880,16744,5622,56,1932,832,22,36.96,2016-06-01,2020,July,2195.32,326.32,3910,56.1463%
180,Borderlands 3,604517,74418,3910,222,8322,813,100,8.12,2016-06-01,2020,July,8785.67,1651.71,17781,49.4104%
183,Call of Duty: Black Ops III,596639,137838,7540,339,17798,803,185,4.33,2016-06-01,2020,July,3275.54,-348.45,5394,60.7256%
192,Kingdom Come: Deliverance,546633,15439,11527,49,1453,735,20,35.41,2016-06-01,2020,July,2977.3,19.22,5591,53.2517%
193,Stardew Valley,545181,71286,5423,172,10088,733,95,7.65,2016-06-01,2020,July,19955.32,4745.95,28908,69.0304%
197,Metin2,532934,17309,3944,58,1332,717,23,30.79,2016-06-01,2020,July,627.28,-281.97,1009,62.1685%
199,Subnautica,524425,53141,8221,142,6693,705,71,9.87,2016-06-01,2020,July,3177.59,555.8,5472,58.07%
3,Fall Guys: Ultimate Knockout,112938341,2257803,713229,7272,395663,152003,3038,50.02,2016-06-01,2020,August,124479.35,-27777.3925,172026,72.3608%
6,Grand Theft Auto V,83320277,1515588,374879,3525,125748,112140,2039,54.98,2016-06-01,2020,August,88398.36,4743.64,154677,57.1503%
8,Counter-Strike: Global Offensive,48243344,1071229,313425,2526,117920,64930,1441,45.04,2016-06-01,2020,August,639957.66,14056.85,925348,69.1586%
10,Dota 2,38252005,554956,170474,1247,26864,51483,746,68.93,2016-06-01,2020,August,429717.12,-20496.87,666138,64.5087%
15,Dead by Daylight,22216259,1024753,86217,2261,83980,29900,1379,21.68,2016-06-01,2020,August,40148.29,-388.79,58910,68.1519%
20,Tom Clancy's Rainbow Six Siege,12484628,1236678,114613,3038,137891,16802,1664,10.1,2016-06-01,2020,August,68205.26,-8073.94,127249,53.5998%
21,PLAYERUNKNOWN'S BATTLEGROUNDS,11449004,600713,120025,1275,39123,15409,808,19.06,2016-06-01,2020,August,192492.61,-19207.7,443390,43.4138%
23,Rocket League,9773161,484991,182628,1134,82809,13153,652,20.15,2016-06-01,2020,August,41201.98,-691.28,70357,58.5613%
29,Destiny 2,7558794,757588,26071,2480,50050,10173,1019,9.98,2016-06-01,2020,August,64263.74,-4176.01,122520,52.4516%
31,NBA 2K20,7393059,675373,76106,2017,62815,9950,908,10.95,2016-06-01,2020,August,23347.53,463.43,48367,48.2716%
35,Warframe,6219274,198143,433443,1352,14877,8370,266,31.39,2016-06-01,2020,August,59629.02,20243.88,154246,38.6584%
36,Path of Exile,5706876,125666,26106,350,5688,7680,169,45.41,2016-06-01,2020,August,18829.49,-16011.41,38067,49.4641%
39,SMITE,5146771,224702,25241,595,18501,6927,302,22.9,2016-06-01,2020,August,14947.1,-894.75,24066,62.1088%
42,Horizon Zero Dawn,4665977,177158,91067,1658,16500,6279,238,26.34,2016-06-01,2020,August,16042.04,-3366.385,49582,32.3546%
44,Rust,4384160,183250,48044,667,15124,5900,246,23.92,2016-06-01,2020,August,53287.65,-4951.07,89147,59.775%
45,Sea of Thieves,4203185,319827,46219,844,31000,5657,430,13.14,2016-06-01,2020,August,12358.85,-9451.4,29221,42.2944%
48,DayZ,4118950,140663,106528,383,10369,5543,189,29.28,2016-06-01,2020,August,13979.0,-360.71,24446,57.1832%
51,Risk of Rain 2,3949079,136496,77577,825,19954,5315,183,28.93,2016-06-01,2020,August,25249.95,20718.12,71033,35.5468%
53,Black Desert Online,3871512,145243,16699,296,7446,5210,195,26.66,2016-06-01,2020,August,14501.52,-876.78,18551,78.1711%
55,FINAL FANTASY XIV Online,3397969,334905,19206,1521,21528,4573,450,10.15,2016-06-01,2020,August,20497.85,4730.57,34086,60.1357%
57,VRChat,3141316,97302,28042,282,8890,4227,130,32.28,2016-06-01,2020,August,11442.02,328.31,17514,65.3307%
60,The Elder Scrolls Online,2925711,121683,27529,293,8929,3937,163,24.04,2016-06-01,2020,August,23369.4,1362.8,38240,61.1124%
61,World of Warships,2889577,76034,15732,195,4526,3889,102,38.0,2016-06-01,2020,August,9373.22,113.54,17432,53.7702%
62,Age of Empires II: Definitive Edition,2860449,40635,154059,95,3211,3849,54,70.39,2016-06-01,2020,August,13439.44,-1008.34,21018,63.9425%
65,Grounded,2604550,157448,30297,1044,26672,3505,211,16.54,2016-06-01,2020,August,5422.12,-1144.96,16851,32.1768%
69,MapleStory,2291944,74380,19305,216,4644,3084,100,30.81,2016-06-01,2020,August,2477.79,-626.6,3767,65.7762%
78,Street Fighter V,2011813,49004,36339,189,4729,2707,65,41.05,2016-06-01,2020,August,2255.39,557.8,3957,56.9975%
79,Monster Hunter: World,2003692,172461,28881,504,15880,2696,232,11.62,2016-06-01,2020,August,33785.62,-14294.18,74252,45.5013%
89,Brawlhalla,1640625,108518,31930,275,20676,2208,146,15.12,2016-06-01,2020,August,17013.52,737.43,26415,64.4086%
90,PGA TOUR 2K21,1635739,44112,58027,500,6368,2201,59,37.08,2016-06-01,2020,August,3018.41,-558.265,5408,55.8138%
91,ARK: Survival Evolved,1615768,220558,5719,533,13889,2174,296,7.33,2016-06-01,2020,August,47770.61,-9393.38,75208,63.518%
93,SCP: Secret Laboratory,1585434,18253,95543,70,3579,2133,24,86.86,2016-06-01,2020,August,5679.27,1679.49,7603,74.6978%
96,For The King,1370626,8442,56517,68,1572,1844,11,162.36,2016-06-01,2020,August,1043.18,278.69,3141,33.2117%
97,7 Days to Die,1360333,123123,12154,301,9189,1830,165,11.05,2016-06-01,2020,August,20728.01,-3509.9,35748,57.9837%
106,The Witcher 3: Wild Hunt,1219693,81397,88802,236,8868,1641,109,14.98,2016-06-01,2020,August,16327.61,-2500.77,36555,44.6659%
108,Hunt: Showdown,1198189,99928,20954,257,7474,1612,134,11.99,2016-06-01,2020,August,5612.19,-776.38,10733,52.2891%
109,Mortal Kombat 11,1193781,50604,67731,127,6103,1606,68,23.59,2016-06-01,2020,August,1758.0,-663.78,3205,54.8518%
110,Terraria,1178579,87420,13293,205,10693,1586,117,13.48,2016-06-01,2020,August,28647.58,-12181.26,40187,71.2857%
121,The Elder Scrolls V: Skyrim,1061789,121853,13805,269,12091,1429,164,8.71,2016-06-01,2020,August,6855.91,-85.68,10891,62.9502%
125,For Honor,997246,65215,10134,336,8264,1342,87,15.29,2016-06-01,2020,August,5048.3,320.97,13358,37.7923%
131,Sid Meier's Civilization VI,965159,27475,146231,78,3299,1299,36,35.13,2016-06-01,2020,August,33710.97,-3933.71,53037,63.5612%
135,Factorio,932518,42720,21634,161,3419,1255,57,21.83,2016-06-01,2020,August,15775.35,8052.67,34640,45.5408%
139,Albion Online,921361,49420,4080,133,3017,1240,66,18.64,2016-06-01,2020,August,7144.1,1234.67,11595,61.6136%
141,Don't Starve Together,896588,38885,6371,108,4746,1206,52,23.06,2016-06-01,2020,August,13957.9,-3623.54,24475,57.0292%
143,Paladins,870543,107881,2853,279,12974,1171,145,8.07,2016-07-01,2020,August,10225.23,84.07,16893,60.5294%
144,Subnautica,867755,60881,12864,157,7579,1167,81,14.25,2016-07-01,2020,August,2949.65,-227.94,4636,63.6249%
149,The Long Dark,815041,13763,7884,42,1624,1096,18,59.22,2016-07-01,2020,August,1542.28,-653.04,2580,59.7783%
150,Gears 5,804652,84119,19520,291,7958,1082,113,9.57,2016-07-01,2020,August,348.62,-33.88,558,62.4767%
151,Battle Brothers,789624,9614,3942,55,520,1062,12,82.13,2016-07-01,2020,August,2918.35,2070.19,8055,36.2303%
152,Football Manager 2020,785742,30728,14288,106,2258,1057,41,25.57,2016-07-01,2020,August,60252.62,1410.15,94464,63.7837%
161,Euro Truck Simulator 2,713134,86502,18716,315,9840,959,116,8.24,2016-07-01,2020,August,17248.12,-2371.38,34063,50.6359%
163,Garry's Mod,702525,30944,76796,101,6730,945,41,22.7,2016-07-01,2020,August,28184.07,-1054.87,41437,68.0167%
168,Yu-Gi-Oh! Duel Links,677391,18276,5549,55,1834,911,24,37.06,2016-07-01,2020,August,7655.71,517.39,11011,69.5278%
171,Hollow Knight,654341,60091,95667,147,7149,880,80,10.89,2016-07-01,2020,August,5029.37,-453.06,9029,55.7024%
172,Golf It!,649065,4652,91632,87,1815,873,6,139.52,2016-07-01,2020,August,699.45,-143.42,1529,45.7456%
173,Farming Simulator 19,648724,79391,14350,253,6157,873,106,8.17,2016-07-01,2020,August,14565.66,390.09,28405,51.2785%
174,Borderlands 3,633264,71917,6031,223,7948,852,96,8.81,2016-07-01,2020,August,8873.5,87.83,23377,37.9582%
177,Call of Duty: Black Ops III,602639,127592,9973,305,17538,811,171,4.72,2016-07-01,2020,August,2756.57,-518.97,4554,60.5307%
178,Grand Theft Auto: San Andreas,601199,31718,19600,81,4438,809,42,18.95,2016-07-01,2020,August,863.76,-231.33,1361,63.4651%
179,RimWorld,600629,33839,10181,91,2657,808,45,17.75,2016-07-01,2020,August,16529.27,1285.9,23344,70.8074%
180,Slay the Spire,600203,16654,26408,53,2542,807,22,36.04,2016-07-01,2020,August,6526.54,-30.56,9584,68.0983%
181,Conqueror's Blade,599545,29407,27538,87,1962,806,39,20.39,2016-07-01,2020,August,3910.94,652.93,10336,37.838%
182,Conan Exiles,578334,31269,36814,85,2116,778,42,18.5,2016-07-01,2020,August,6984.01,-1525.6,11498,60.7411%
